year,month,area_id,age_group,saving_rate,heat_stroke_rate,elec_price,avg_temp,gdp_capita
2010,8,3,65,0,27.095312118530273,16.40080451965332,28.430164337158203,1666.0648460662392
2010,8,3,0_19,0,11.565248489379883,16.40080451965332,27.116943359375,1666.0648460662392
2010,8,3,20_64,0,9.138808250427246,16.40080451965332,27.116943359375,1666.0648460662392
2010,8,3,65,0,43.4821662902832,16.40080451965332,27.116943359375,1666.0648460662392
2010,9,3,0_19,0,6.014738082885742,16.40080451965332,24.1083927154541,1666.0648460662392
2010,9,3,20_64,0,4.1936726570129395,16.40080451965332,24.1083927154541,1666.0648460662392
2010,9,3,65,0,15.036124229431152,16.40080451965332,24.1083927154541,1666.0648460662392
2010,9,3,0_19,0,3.6027579307556152,16.40080451965332,23.921405792236328,1666.0648460662392
2010,9,3,20_64,0,4.538799285888672,16.40080451965332,23.921405792236328,1666.0648460662392
2010,9,3,65,0,13.46429443359375,16.40080451965332,23.921405792236328,1666.0648460662392
2010,9,3,0_19,0,4.67305850982666,16.40080451965332,24.503921508789063,1666.0648460662392
2010,9,3,20_64,0,4.38309907913208,16.40080451965332,24.503921508789063,1666.0648460662392
2010,9,3,65,0,13.38944149017334,16.40080451965332,24.503921508789063,1666.0648460662392
2010,9,3,0_19,0,4.379180908203125,16.40080451965332,25.441617965698242,1666.0648460662392
2010,9,3,20_64,0,4.72667932510376,16.40080451965332,25.441617965698242,1666.0648460662392
2010,9,3,65,0,16.520349502563477,16.40080451965332,25.441617965698242,1666.0648460662392
2010,9,3,0_19,0,9.77035140991211,16.40080451965332,25.03721809387207,1666.0648460662392
2010,9,3,20_64,0,3.6284072399139404,16.40080451965332,25.03721809387207,1666.0648460662392
2010,9,3,65,0,10.98384952545166,16.40080451965332,25.03721809387207,1666.0648460662392
2010,9,3,0_19,0,2.7803499698638916,16.40080451965332,25.736207962036133,1666.0648460662392
2010,9,3,20_64,0,3.2242109775543213,16.40080451965332,25.736207962036133,1666.0648460662392
2010,9,3,65,0,9.8023223876953125,16.40080451965332,25.736207962036133,1666.0648460662392
2010,9,3,0_19,0,2.8989012241363525,16.40080451965332,25.248741149902344,1666.0648460662392
2010,9,3,20_64,0,3.0238590240478516,16.40080451965332,25.248741149902344,1666.0648460662392
2010,9,3,65,0,7.364648342132568,16.40080451965332,25.248741149902344,1666.0648460662392
2010,9,3,0_19,0,4.705468654632568,16.40080451965332,23.9257755279541,1666.0648460662392
2010,9,3,20_64,0,3.793820381164551,16.40080451965332,23.9257755279541,1666.0648460662392
2010,9,3,65,0,11.815805435180664,16.40080451965332,23.9257755279541,1666.0648460662392
2011,7,3,0_19,0.15,15.627625465393066,18.216678619384766,25.904224395751953,1649.7365445890632
2011,7,3,20_64,0.15,11.233019828796387,18.216678619384766,25.904224395751953,1649.7365445890632
2011,7,3,65,0.15,28.550296783447266,18.216678619384766,25.904224395751953,1649.7365445890632
2011,7,3,0_19,0.15,12.58161735534668,18.216678619384766,25.768863677978516,1649.7365445890632
2011,7,3,20_64,0.15,12.38073444366455,18.216678619384766,25.768863677978516,1649.7365445890632
2011,7,3,65,0.15,36.01789855957031,18.216678619384766,25.768863677978516,1649.7365445890632
2011,7,3,0_19,0.15,27.761486053466797,18.216678619384766,27.192535400390625,1649.7365445890632
2011,7,3,20_64,0.15,12.411067962646484,18.216678619384766,27.192535400390625,1649.7365445890632
2011,7,3,65,0.15,42.58872604370117,18.216678619384766,27.192535400390625,1649.7365445890632
2011,7,3,0_19,0.15,14.185736656188965,18.216678619384766,27.024456024169922,1649.7365445890632
2011,7,3,20_64,0.15,11.397711753845215,18.216678619384766,27.024456024169922,1649.7365445890632
2011,7,3,65,0.15,37.915008544921875,18.216678619384766,27.024456024169922,1649.7365445890632
2011,7,3,0_19,0.15,14.644142150878906,18.216678619384766,26.347105026245117,1649.7365445890632
2011,7,3,20_64,0.15,8.962697982788086,18.216678619384766,26.347105026245117,1649.7365445890632
2011,7,3,65,0.15,24.16058349609375,18.216678619384766,26.347105026245117,1649.7365445890632
2011,7,3,0_19,0.15,10.39410400390625,18.216678619384766,27.212400436401367,1649.7365445890632
2011,7,3,20_64,0.15,7.04335880279541,18.216678619384766,27.212400436401367,1649.7365445890632
2011,7,3,65,0.15,22.889789581298828,18.216678619384766,27.212400436401367,1649.7365445890632
2011,7,3,0_19,0.15,8.891672134399414,18.216678619384766,26.446104049682617,1649.7365445890632
2011,7,3,20_64,0.15,5.845548629760742,18.216678619384766,26.446104049682617,1649.7365445890632
2011,7,3,65,0.15,18.552278518676758,18.216678619384766,26.446104049682617,1649.7365445890632
2011,7,3,0_19,0.15,9.608745574951172,18.216678619384766,25.433191299438477,1649.7365445890632
2011,7,3,20_64,0.15,7.385191917419434,18.216678619384766,25.433191299438477,1649.7365445890632
2011,7,3,65,0.15,26.760562896728516,18.216678619384766,25.433191299438477,1649.7365445890632
2011,8,3,0_19,0.15,10.031927108764648,18.216678619384766,25.92645835876465,1649.7365445890632
2011,8,3,20_64,0.15,11.938349723815918,18.216678619384766,25.92645835876465,1649.7365445890632
2011,8,3,65,0.15,26.775148391723633,18.216678619384766,25.92645835876465,1649.7365445890632
2011,8,3,0_19,0.15,8.337518692016602,18.216678619384766,25.694692611694336,1649.7365445890632
2011,8,3,20_64,0.15,11.151820182800293,18.216678619384766,25.694692611694336,1649.7365445890632
2011,8,3,65,0.15,35.79418182373047,18.216678619384766,25.694692611694336,1649.7365445890632
2011,8,3,0_19,0.15,17.546432495117188,18.216678619384766,26.60419464111328,1649.7365445890632
2011,8,3,20_64,0.15,14.845849990844727,18.216678619384766,26.60419464111328,1649.7365445890632
2011,8,3,65,0.15,34.4467658996582,18.216678619384766,26.60419464111328,1649.7365445890632
